区块	proto	备注
-----------------------------------	-----------------------------------	-----------------------------------
cmd_ability	AbilityInvocationFixedNotify	AbilityInvocationFixedNotify
cmd_ability	AbilityInvocationsNotify	AbilityInvocationsNotify
cmd_ability	ClientAbilityInitBeginNotify	ClientAbilityInitBeginNotify
cmd_ability	ClientAbilityInitFinishNotify	ClientAbilityInitFinishNotify
cmd_ability	AbilityInvocationFailNotify	AbilityInvocationFailNotify
cmd_ability	ClientAbilitiesInitFinishCombineNotify	ClientAbilitiesInitFinishCombineNotify
cmd_ability	WindSeedClientNotify	WindSeedClientNotify
cmd_ability	AbilityChangeNotify	AbilityChangeNotify
cmd_ability	ClientAbilityChangeNotify	ClientAbilityChangeNotify
cmd_ability	ServerUpdateGlobalValueNotify	ServerUpdateGlobalValueNotify
cmd_ability	ServerGlobalValueChangeNotify	ServerGlobalValueChangeNotify
cmd_ability	ClientAIStateNotify	ClientAIStateNotify
cmd_ability	ServerCombatEndNotify	ServerCombatEndNotify
cmd_ability	ClientRemoveCombatEndModifierNotify	ClientRemoveCombatEndModifierNotify
cmd_ability	PerformOperationNotify	PerformOperationNotify
-----------------------------------	-----------------------------------	-----------------------------------
cmd_achievement	AchievementAllDataNotify	AchievementAllDataNotify
cmd_achievement	AchievementUpdateNotify	AchievementUpdateNotify
cmd_achievement	TakeAchievementRewardReq	TakeAchievementRewardReq
cmd_achievement	TakeAchievementRewardRsp	TakeAchievementRewardRsp
cmd_achievement	TakeAchievementGoalRewardReq	TakeAchievementGoalRewardReq
cmd_achievement	TakeAchievementGoalRewardRsp	TakeAchievementGoalRewardRsp
-----------------------------------	-----------------------------------	-----------------------------------
cmd_activity	GetActivityScheduleReq	GetActivityScheduleReq
cmd_activity	GetActivityScheduleRsp	GetActivityScheduleRsp
cmd_activity	GetActivityInfoReq	GetActivityInfoReq
cmd_activity	GetActivityInfoRsp	GetActivityInfoRsp
cmd_activity	ActivityPlayOpenAnimNotify	ActivityPlayOpenAnimNotify
cmd_activity	ActivityInfoNotify	ActivityInfoNotify
cmd_activity	ActivityScheduleInfoNotify	ActivityScheduleInfoNotify
cmd_activity	ActivityTakeWatcherRewardReq	ActivityTakeWatcherRewardReq
cmd_activity	ActivityTakeWatcherRewardRsp	ActivityTakeWatcherRewardRsp
cmd_activity	ActivityUpdateWatcherNotify	ActivityUpdateWatcherNotify
cmd_activity	ActivitySelectAvatarCardReq	ActivitySelectAvatarCardReq
cmd_activity	ActivitySelectAvatarCardRsp	ActivitySelectAvatarCardRsp
cmd_activity	ActivityCoinInfoNotify	ActivityCoinInfoNotify
cmd_activity	SeaLampFlyLampReq	SeaLampFlyLampReq
cmd_activity	SeaLampFlyLampRsp	SeaLampFlyLampRsp
cmd_activity	SeaLampTakeContributionRewardReq	SeaLampTakeContributionRewardReq
cmd_activity	SeaLampTakeContributionRewardRsp	SeaLampTakeContributionRewardRsp
cmd_activity	SeaLampTakePhaseRewardReq	SeaLampTakePhaseRewardReq
cmd_activity	SeaLampTakePhaseRewardRsp	SeaLampTakePhaseRewardRsp
cmd_activity	SeaLampContributeItemReq	SeaLampContributeItemReq
cmd_activity	SeaLampContributeItemRsp	SeaLampContributeItemRsp
cmd_activity	SeaLampFlyLampNotify	SeaLampFlyLampNotify
cmd_activity	SeaLampCoinNotify	SeaLampCoinNotify
cmd_activity	SeaLampPopularityNotify	SeaLampPopularityNotify
cmd_activity	LoadActivityTerrainNotify	LoadActivityTerrainNotify
cmd_activity	ServerAnnounceNotify	ServerAnnounceNotify
cmd_activity	ServerAnnounceRevokeNotify	ServerAnnounceRevokeNotify
cmd_activity	ActivityBannerNotify	ActivityBannerNotify
cmd_activity	ActivityBannerClearReq	ActivityBannerClearReq
cmd_activity	ActivityBannerClearRsp	ActivityBannerClearRsp
cmd_activity	SalesmanDeliverItemReq	SalesmanDeliverItemReq
cmd_activity	SalesmanDeliverItemRsp	SalesmanDeliverItemRsp
cmd_activity	SalesmanTakeRewardReq	SalesmanTakeRewardReq
cmd_activity	SalesmanTakeRewardRsp	SalesmanTakeRewardRsp
cmd_activity	ActivityCondStateChangeNotify	ActivityCondStateChangeNotify
cmd_activity	SalesmanTakeSpecialRewardReq	SalesmanTakeSpecialRewardReq
cmd_activity	SalesmanTakeSpecialRewardRsp	SalesmanTakeSpecialRewardRsp
cmd_activity	GetAuthSalesmanInfoReq	GetAuthSalesmanInfoReq
cmd_activity	GetAuthSalesmanInfoRsp	GetAuthSalesmanInfoRsp
cmd_activity	EnterTrialAvatarActivityDungeonReq	EnterTrialAvatarActivityDungeonReq
cmd_activity	EnterTrialAvatarActivityDungeonRsp	EnterTrialAvatarActivityDungeonRsp
cmd_activity	ReceivedTrialAvatarActivityRewardReq	ReceivedTrialAvatarActivityRewardReq
cmd_activity	ReceivedTrialAvatarActivityRewardRsp	ReceivedTrialAvatarActivityRewardRsp
cmd_activity	TrialAvatarFirstPassDungeonNotify	TrialAvatarFirstPassDungeonNotify
cmd_activity	TrialAvatarInDungeonIndexNotify	TrialAvatarInDungeonIndexNotify
cmd_activity	TakeDeliveryDailyRewardReq	TakeDeliveryDailyRewardReq
cmd_activity	TakeDeliveryDailyRewardRsp	TakeDeliveryDailyRewardRsp
cmd_activity	FinishDeliveryNotify	FinishDeliveryNotify
cmd_activity	SelectAsterMidDifficultyReq	SelectAsterMidDifficultyReq
cmd_activity	SelectAsterMidDifficultyRsp	SelectAsterMidDifficultyRsp
cmd_activity	AsterProgressInfoNotify	AsterProgressInfoNotify
cmd_activity	AsterLittleInfoNotify	AsterLittleInfoNotify
cmd_activity	AsterMidInfoNotify	AsterMidInfoNotify
cmd_activity	AsterMiscInfoNotify	AsterMiscInfoNotify
cmd_activity	TakeAsterSpecialRewardReq	TakeAsterSpecialRewardReq
cmd_activity	TakeAsterSpecialRewardRsp	TakeAsterSpecialRewardRsp
cmd_activity	AsterLargeInfoNotify	AsterLargeInfoNotify
cmd_activity	FlightActivitySettleNotify	FlightActivitySettleNotify
cmd_activity	FlightActivityRestartReq	FlightActivityRestartReq
cmd_activity	FlightActivityRestartRsp	FlightActivityRestartRsp
cmd_activity	AsterMidCampInfoNotify	AsterMidCampInfoNotify
cmd_activity	DragonSpineChapterOpenNotify	DragonSpineChapterOpenNotify
cmd_activity	DragonSpineChapterProgressChangeNotify	DragonSpineChapterProgressChangeNotify
cmd_activity	DragonSpineChapterFinishNotify	DragonSpineChapterFinishNotify
cmd_activity	DragonSpineCoinChangeNotify	DragonSpineCoinChangeNotify
cmd_activity	ActivitySaleChangeNotify	ActivitySaleChangeNotify
cmd_activity	StartEffigyChallengeReq	StartEffigyChallengeReq
cmd_activity	StartEffigyChallengeRsp	StartEffigyChallengeRsp
cmd_activity	EffigyChallengeInfoNotify	EffigyChallengeInfoNotify
cmd_activity	EffigyChallengeResultNotify	EffigyChallengeResultNotify
cmd_activity	TakeEffigyFirstPassRewardReq	TakeEffigyFirstPassRewardReq
cmd_activity	TakeEffigyFirstPassRewardRsp	TakeEffigyFirstPassRewardRsp
cmd_activity	TakeEffigyRewardReq	TakeEffigyRewardReq
cmd_activity	TakeEffigyRewardRsp	TakeEffigyRewardRsp
cmd_activity	SelectEffigyChallengeConditionReq	SelectEffigyChallengeConditionReq
cmd_activity	SelectEffigyChallengeConditionRsp	SelectEffigyChallengeConditionRsp
cmd_activity	RestartEffigyChallengeReq	RestartEffigyChallengeReq
cmd_activity	RestartEffigyChallengeRsp	RestartEffigyChallengeRsp
cmd_activity	TreasureMapRegionInfoNotify	TreasureMapRegionInfoNotify
cmd_activity	TreasureMapCurrencyNotify	TreasureMapCurrencyNotify
cmd_activity	TreasureMapRegionActiveNotify	TreasureMapRegionActiveNotify
cmd_activity	TreasureMapMpChallengeNotify	TreasureMapMpChallengeNotify
cmd_activity	TreasureMapBonusChallengeNotify	TreasureMapBonusChallengeNotify
cmd_activity	TreasureMapGuideTaskDoneNotify	TreasureMapGuideTaskDoneNotify
cmd_activity	TreasureMapPreTaskDoneNotify	TreasureMapPreTaskDoneNotify
cmd_activity	BlessingScanReq	BlessingScanReq
cmd_activity	BlessingScanRsp	BlessingScanRsp
cmd_activity	BlessingRedeemRewardReq	BlessingRedeemRewardReq
cmd_activity	BlessingRedeemRewardRsp	BlessingRedeemRewardRsp
cmd_activity	BlessingGetFriendPicListReq	BlessingGetFriendPicListReq
cmd_activity	BlessingGetFriendPicListRsp	BlessingGetFriendPicListRsp
cmd_activity	BlessingGiveFriendPicReq	BlessingGiveFriendPicReq
cmd_activity	BlessingGiveFriendPicRsp	BlessingGiveFriendPicRsp
cmd_activity	BlessingAcceptGivePicReq	BlessingAcceptGivePicReq
cmd_activity	BlessingAcceptGivePicRsp	BlessingAcceptGivePicRsp
cmd_activity	BlessingGetAllRecvPicRecordListReq	BlessingGetAllRecvPicRecordListReq
cmd_activity	BlessingGetAllRecvPicRecordListRsp	BlessingGetAllRecvPicRecordListRsp
cmd_activity	BlessingRecvFriendPicNotify	BlessingRecvFriendPicNotify
cmd_activity	BlessingAcceptAllGivePicReq	BlessingAcceptAllGivePicReq
cmd_activity	BlessingAcceptAllGivePicRsp	BlessingAcceptAllGivePicRsp
cmd_activity	ExpeditionStartReq	ExpeditionStartReq
cmd_activity	ExpeditionStartRsp	ExpeditionStartRsp
